cap-shape,cap-size,cap-surface,cap-color,bruises?,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,spore-hue,population,habitat,cals,fat,carbs,protein,label
conical,medium,grooves,white,no,musty,attached,distant,broad,black,enlarging,missing,fibrous,scaly,gray,yellow,universal,yellow,two,evanescent,buff,white,abundant,grasses,medium,low,low,low,0
bell,large,grooves,green,bruises,spicy,attached,distant,narrow,black,enlarging,rooted,silky,scaly,buff,pink,partial,orange,none,pendant,buff,red,scattered,leaves,high,high,low,medium,2
bell,large,smooth,white,no,creosote,attached,close,narrow,white,enlarging,bulbous,silky,scaly,orange,gray,partial,orange,one,large,orange,brown,abundant,urban,low,medium,high,medium,0
sunken,large,smooth,brown,bruises,none,attached,crowded,narrow,gray,tapering,missing,fibrous,scaly,cinnamon,orange,universal,orange,one,none,white,pink,abundant,paths,medium,high,high,medium,3
flat,small,scaly,purple,no,spicy,notched,distant,broad,white,tapering,equal,smooth,scaly,red,red,partial,orange,none,sheathing,yellow,purple,scattered,meadows,medium,low,medium,medium,3
conical,small,grooves,pink,bruises,foul,free,crowded,narrow,white,tapering,rhizomorphs,silky,fibrous,pink,orange,partial,yellow,two,evanescent,orange,green,scattered,leaves,low,low,high,high,3
flat,medium,fibrous,purple,bruises,creosote,notched,distant,narrow,yellow,enlarging,club,silky,scaly,gray,yellow,universal,orange,one,none,buff,cinnamon,scattered,waste,low,high,medium,high,3
flat,small,grooves,cinnamon,no,fishy,free,distant,narrow,brown,tapering,rooted,silky,scaly,white,brown,partial,brown,two,sheathing,orange,white,solitary,grasses,medium,medium,low,low,2
flat,medium,scaly,brown,no,pungent,free,crowded,narrow,brown,enlarging,rooted,silky,smooth,cinnamon,pink,universal,yellow,two,sheathing,orange,brown,several,grasses,high,high,high,low,2
convex,small,fibrous,brown,no,anise,descending,distant,narrow,purple,enlarging,club,smooth,smooth,buff,yellow,partial,white,two,flaring,brown,purple,abundant,grasses,low,high,high,medium,0
flat,large,fibrous,red,no,fishy,free,crowded,broad,orange,enlarging,rooted,silky,scaly,brown,cinnamon,universal,orange,one,none,purple,brown,abundant,leaves,high,high,medium,medium,3
conical,medium,smooth,pink,no,foul,notched,distant,broad,yellow,tapering,cup,fibrous,silky,white,red,universal,yellow,none,large,brown,gray,abundant,woods,low,high,medium,medium,0
conical,medium,smooth,pink,bruises,spicy,notched,crowded,broad,green,tapering,rooted,smooth,silky,brown,buff,partial,yellow,none,pendant,chocolate,red,abundant,woods,high,low,high,low,2
knobbed,medium,grooves,red,bruises,spicy,attached,distant,narrow,gray,enlarging,cup,smooth,fibrous,buff,pink,partial,orange,none,sheathing,yellow,purple,clustered,meadows,high,high,low,medium,1
bell,large,fibrous,purple,bruises,musty,notched,distant,narrow,brown,enlarging,rhizomorphs,smooth,fibrous,red,orange,universal,yellow,none,none,brown,purple,numerous,meadows,low,medium,medium,low,1
convex,medium,smooth,gray,no,fishy,attached,close,broad,red,enlarging,equal,fibrous,fibrous,cinnamon,yellow,partial,white,none,pendant,chocolate,red,numerous,paths,high,low,high,high,0
conical,small,scaly,red,no,foul,notched,distant,broad,red,tapering,equal,smooth,silky,brown,red,universal,orange,none,sheathing,black,brown,solitary,waste,high,high,medium,low,3
convex,medium,fibrous,yellow,no,anise,descending,distant,broad,gray,tapering,equal,silky,smooth,cinnamon,brown,universal,brown,none,large,yellow,white,abundant,meadows,high,high,medium,high,1
sunken,large,scaly,cinnamon,no,musty,descending,crowded,narrow,chocolate,tapering,bulbous,silky,scaly,pink,cinnamon,partial,brown,one,zone,purple,green,scattered,urban,high,medium,medium,medium,0
bell,small,smooth,brown,bruises,musty,free,distant,broad,black,enlarging,cup,silky,scaly,cinnamon,red,universal,white,two,pendant,black,buff,solitary,grasses,medium,medium,high,high,2
flat,medium,scaly,yellow,bruises,foul,notched,close,broad,white,enlarging,equal,fibrous,silky,pink,cinnamon,partial,white,two,pendant,green,gray,numerous,leaves,low,low,high,high,0
convex,small,grooves,white,bruises,musty,free,crowded,narrow,gray,enlarging,rhizomorphs,scaly,fibrous,cinnamon,brown,universal,yellow,none,sheathing,white,purple,abundant,meadows,high,low,high,high,1
